track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album
spotify:track:587Ks4sb6Wd2qRVS5i9fdW,Big Foot,63,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,87,"['hip pop', 'pop', 'queens hip hop', 'rap']",Big Foot
spotify:track:2ue12T2b9JXlErJJ6NSs8W,FACTS,63,spotify:artist:6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,65,"['bc underground hip hop', 'country rap', 'maga rap']",FACTS
spotify:track:00KKtPfUBjO1k8Yn8dmJKZ,LWRW,64,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,82,"['melodic rap', 'rap', 'trap']",LWRW
spotify:track:2WiYG2Dgfqft21PBbF4Lxm,Dinosaurs From Outer Space,50,spotify:artist:5FKchcZpQOkqFvXBj1aCvb,Excision,61,"['brostep', 'canadian electronic', 'filthstep']",Dinosaurs From Outer Space
spotify:track:5xK5Jjp76O2t8r8J3i1SrM,"I, VIBRATOR",43,spotify:artist:3ImqpXKKgkH5VydfgX1hd4,Say Anything,49,"['emo', 'neon pop punk', 'pop punk', 'screamo']","I, VIBRATOR"
spotify:track:5Jpz4nv8nA6FIYO5gEyQa2,Alibi (feat. Rudimental),81,spotify:artist:7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,73,"['dance pop', 'pop dance', 'talent show', 'uk pop']",Alibi (feat. Rudimental)
spotify:track:1uvCbCFeAvYnZbx5LcBVsv,symphony no.5 in bass minor,35,spotify:artist:44RV4NtG7667JQNtX6iDZc,LŪN,33,[],symphony no.5 in bass minor
spotify:track:5L3Nm5Vs2s4YaeYMQ6at1m,When I’ve Got You,53,spotify:artist:5AWgF8Ghqm94WZ4GxCt8K5,Dimash Qudaibergen,51,['operatic pop'],When I’ve Got You
spotify:track:5sBPsTJRLmEh5cF1H2GUtx,Babaroga,34,spotify:artist:4gs82a9ZgG2faut653OMRD,Let 3,34,"['balkan punk', 'croatian rock', 'yugoslav rock']",Babaroga
spotify:track:0A0CZzjON3WXZvEyPoA6GQ,Control,49,spotify:artist:19HFRWmRCl27kTk6LeqAO8,MORTEN,63,"['danish electronic', 'scandipop']",Control
spotify:track:7yekoLtOYxikYKEfiBXu3v,Steppa,47,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,82,"['baton rouge rap', 'rap']",Steppa
spotify:track:5CRPGdCSOfstyTVK9Ja5EQ,Ceremony,54,spotify:artist:0yNLKJebCb8Aueb54LYya3,New Order,65,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",Substance
spotify:track:6kPi7wWjP3OCnLrolHJeHQ,Ceremony,55,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,Marshmello,84,"['brostep', 'edm', 'pop', 'progressive electro house']",Ceremony
spotify:track:6cXZ5xkPNb9P5C6Z9564Cx,Movement,57,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,Marshmello,84,"['brostep', 'edm', 'pop', 'progressive electro house']",Movement
spotify:track:2t3VC1SefHeVFB37CIbyQ1,No Time,58,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,82,"['baton rouge rap', 'rap']",No Time
spotify:track:0Vsjlru86RuL55GX5LsnF3,Scared of Heights,52,spotify:artist:1OjcrzJpR5p38qPTskMPU5,Hera Björk,37,"['icelandic pop', 'sunnlensk tonlist']",Scared of Heights
spotify:track:7jY6W92bLfnXnevTa7JKHi,Perfect (Exceeder),73,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,88,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Perfect (Exceeder)
spotify:track:73GQDxukyKSz6APrsAydfU,patterns - F1LTHY x warpstr Remix,21,spotify:artist:1VmIiQ7VHrqHg90igSWrB0,Jesse Jo Stark,40,['la indie'],patterns (F1LTHY x warpstr Remix)
spotify:track:6TFUhEcEsqGVMZeZtAeUzN,Spicy Margarita,69,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,79,"['dance pop', 'pop']",Spicy Margarita
spotify:track:2uqxsofWmgRT0ekghgy3ln,Karma,59,spotify:artist:2ai8yQyHp5UEjSS5v9g5fP,JoJo Siwa,41,[],Karma
spotify:track:3EiKZIw4gHajfP76W97wgD,jerk chicken,32,spotify:artist:6zqcGQ6MH6yetBUoquMnL7,guardin,52,"['cloud rap', 'emo rap']",jerk chicken
spotify:track:3k6ya2E34qLDC8iacwZ7xM,Car Trouble,51,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,Owl City,68,"['indietronica', 'pop']",Car Trouble
spotify:track:7MSZg4Km8CM7NRXTeJoANZ,Over You (feat. aespa & Chris Martin),60,spotify:artist:0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,64,['uk alternative pop'],Djesse Vol. 4
spotify:track:5hwTnQgxOSr8A1eIS4Ozvo,Creep / Special,27,spotify:artist:4WmAQDrrYtyygkRlm6VTtB,Gabbie Hanna,45,['alt z'],Creep / Special
spotify:track:2PinQhZDPXSAjkjDySyWF5,Look At The Moon,20,spotify:artist:73cetLm92ap7Luqep30jtA,HKFiftyOne,31,"['deep filthstep', 'emo rap']",Look At The Moon
spotify:track:5j6F769jqaBlfBXSm5obT2,Dearly Departed (feat. Bert McCracken),56,spotify:artist:5ojhEavq6altxW8fWIlLum,Escape the Fate,62,"['alternative metal', 'metalcore', 'neon pop punk', 'pixie', 'pop punk', 'post-grunge', 'screamo']",Dearly Departed (feat. Bert McCracken)
spotify:track:5JicR779rzEO7U92GQKu5g,I LOOK GOOD!,36,spotify:artist:1FX1BFU0DbHRYgKP83pA0d,JELEEL!,56,"['rage rap', 'rhode island rap']",I LOOK GOOD!
spotify:track:0LMwmV37RCmBO2so0szAFs,Whatever,89,spotify:artist:23fqKkggKUBHNkbKtXEls4,Kygo,80,"['edm', 'pop', 'pop dance', 'tropical house']",Whatever
spotify:track:421IxIwggbLYx9XUSUJpZN,Mi Corazón (feat. Camilo),53,spotify:artist:0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,64,['uk alternative pop'],Mi Corazón (feat. Camilo)
spotify:track:6BTYi4q1Vpmr4BMcY8KUdC,lost boys,68,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,mgk,79,"['ohio hip hop', 'pop rap']",lost boys
spotify:track:3TBNXtO8ukvpbgvkMuttsb,Dreaming,63,spotify:artist:2NjfBq1NflQcKSeiDooVjY,Tones And I,70,['australian pop'],Dreaming
spotify:track:6Du0Jhhdi0cqLnqgHnk9Ku,10<20<30<40,34,spotify:artist:5fAix5NwfNgHQqYRrHIPxo,SEBii,44,"['glitchcore', 'hyperpop']",10<20<30<40
spotify:track:60JZB9waHUPWJTGbYO6kDB,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),78,spotify:artist:1bqxdqvUtPWZri43cKHac8,MAX,70,"['singer-songwriter pop', 'teen pop', 'viral pop']",STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM)
spotify:track:3SOaoZ1AfhMjEMCJrdGKEw,Incredible (feat. Labrinth),67,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia,84,"['australian dance', 'australian pop', 'pop']",Incredible (feat. Labrinth)
spotify:track:4up9NcBZM7WhYik9jYtQU1,Back In Love,42,spotify:artist:3CHn74oCO6xiThDGQcDMeA,Kim MinSeok,40,"['k-pop ballad', 'korean pop']",Back In Love
spotify:track:1IqRZsXV47xow1ZSdihWDK,Nobody Escapes,47,spotify:artist:0e86yPdC41PGRkLp2Q1Bph,Mother Mother,73,"['canadian indie rock', 'pov: indie', 'vancouver indie']",Nobody Escapes
spotify:track:3BJ0uXKEz9fUxCbZle1rCE,Always on the run,64,spotify:artist:4EsPdQD7LDT8meZpX0MX4p,ISAAK,48,[],Always on the run
spotify:track:5GXhlMF4fbI0aJaxtR4ilc,Heartbreak & Alcohol,57,spotify:artist:0C86lmpnwiyLDUiyo4d0P1,BRELAND,58,['black americana'],Heartbreak & Alcohol
spotify:track:4CkMLm0u5s9T3XVVSCC8wp,Hardstyle Fish,58,spotify:artist:0pnd3MP2rxAzljR9AqXUJB,Little Big,57,"['hard bass', 'russian rave']",Hardstyle Fish
spotify:track:4ha1GYdpaquNwEe0WAj7eN,COCO (feat. Yailin la Mas Viral),57,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,70,['emo rap'],COCO (feat. Yailin la Mas Viral)
spotify:track:1NMYbsFZyxwHRNaLGzFGWh,Who I Am,74,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,Alan Walker,81,['electro house'],Who I Am
spotify:track:1Yu1fJCwqEWlacl4ofyeUg,"One, Two, & 3",51,spotify:artist:4sTQVOfp9vEMCemLw50sbu,Galantis,72,"['dance pop', 'edm', 'pop', 'pop dance']","One, Two, & 3"
spotify:track:7eRN1jcYXXQp5uzSV6WkRS,Dizzy - LIZOT Remix,49,spotify:artist:5vBSrE1xujD2FXYRarbAXc,Olly Alexander (Years & Years),67,"['dance pop', 'gauze pop', 'pop', 'pop dance', 'uk pop']",Dizzy (LIZOT Remix)
spotify:track:1AEhnZzKbsP3cNm1DBrZDs,deja vu,24,spotify:artist:6M6rZlL20NFRT9T1kapWX4,BradBrooks,25,[],deja vu
spotify:track:4Ne4UbfqgXcBdIsYHjvR6y,Burn The Witch,57,spotify:artist:6oFs3qk4VepIVFdoD4jmsy,PVRIS,61,"['pixie', 'pop emo', 'pop punk']",Burn The Witch
spotify:track:2l9p6xwK0AUo1Ld8UsdvxO,3 DAY HEADACHE,44,spotify:artist:6y7T3BaNMGAYgRbATEq4cM,NOAHFINNCE,51,['pov: indie'],GROWING UP ON THE INTERNET
spotify:track:6ac0GZMtGXywMyyNJg7EAP,Fighter,57,spotify:artist:6v6wot3YV1QnPry6mfrCLK,TALI,41,[],Fighter
spotify:track:02Vncg7BGazGARW9CMVstt,Pick Me,63,spotify:artist:5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,76,"['alt z', 'pop', 'pov: indie']",Pick Me
spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,100,spotify:artist:22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,['singer-songwriter pop'],Beautiful Things
spotify:track:1EDUzgblPIrZpUipr95S5u,BNYX Da Reaper,52,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,82,"['baton rouge rap', 'rap']",BNYX Da Reaper
