track_uri,track_name,lyrics,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,https://www.musixmatch.com/lyrics/Benson-Boone/Beautiful-Things,100,spotify:artist:22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,180304,3
spotify:track:3Vlt0DKYBK0h3Vf92nywhp,OKLOSER,https://www.musixmatch.com/lyrics/Doja-Cat/OKLOSER,33,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87,"['dance pop', 'pop']",Scarlet 2 CLAUDE,0.898,0.674,1,-8.373,1,0.303,0.0255,0,0.0835,0.883,152.046,169067,4
spotify:track:46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),https://www.musixmatch.com/lyrics/Ariana-Grande/we-can-t-be-friends-wait-for-your-love,90,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95,['pop'],eternal sunshine,0.647,0.65,5,-8.278,1,0.0421,0.0716,1.62e-05,0.0749,0.281,115.853,228639,4
spotify:track:2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,https://www.musixmatch.com/lyrics/Artemas/I-like-the-way-you-kiss-me,93,spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79,[],i like the way you kiss me,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4
spotify:track:4IadxL6BUymXlh8RCJJu7T,Too Sweet,https://www.musixmatch.com/lyrics/Hozier/Too-Sweet,88,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Hozier,86,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Unheard,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,https://www.musixmatch.com/lyrics/Djo-6/End-of-Beginning,98,spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,Djo,81,"['pov: indie', 'psychedelic pop']",DECIDE,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4
spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,https://www.musixmatch.com/lyrics/Tate-McRae/greedy,96,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,85,['pop'],greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,131872,1
spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,https://www.musixmatch.com/lyrics/Teddy-Swims/Lose-Control,93,spotify:artist:33qOK5uJ8AR2xuQQAhHump,Teddy Swims,82,[],I've Tried Everything But Therapy (Part 1),0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
spotify:track:0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,https://www.musixmatch.com/lyrics/Beyonc%C3%A9/TEXAS-HOLD-EM,92,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,92,"['pop', 'r&b']",TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0,0.135,0.353,110.024,235636,4
spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,https://www.musixmatch.com/lyrics/Noah-Kahan-4/Stick-Season,94,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,87,['pov: indie'],Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0,0.102,0.817,117.913,182347,4
